"table_name","column_name","data_type","is_nullable","character_maximum_length","child_table","child_column","parent_table","parent_column"
"artist_styles","DEP_prompt_template","text","NO","null","null","null","null","null"
"artist_styles","active","boolean","YES","null","null","null","null","null"
"artist_styles","aspect_ratio","text","YES","null","null","null","null","null"
"artist_styles","character","text","YES","null","null","null","null","null"
"artist_styles","created_at","timestamp with time zone","YES","null","null","null","null","null"
"artist_styles","id","integer","NO","null","null","null","null","null"
"artist_styles","image_prompt_female","text","YES","null","null","null","null","null"
"artist_styles","image_prompt_male","text","YES","null","null","null","null","null"
"artist_styles","midj_version","text","YES","null","null","null","null","null"
"artist_styles","midjourney_mboard","text","YES","null","null","null","null","null"
"artist_styles","name","character varying","NO","100","null","null","null","null"
"artist_styles","negative_prompts","text","YES","null","null","null","null","null"
"artist_styles","page","smallint","YES","null","null","null","null","null"
"artist_styles","prompt_template_female","text","YES","null","null","null","null","null"
"artist_styles","prompt_template_male","text","YES","null","null","null","null","null"
"artist_styles","repeat","text","YES","null","null","null","null","null"
"artist_styles","style_reference","text","YES","null","null","null","null","null"
"artist_styles","style_weight","smallint","YES","null","null","null","null","null"
"artist_styles","stylize","text","YES","null","null","null","null","null"
"artist_styles","updated_at","timestamp with time zone","YES","null","null","null","null","null"
"book_skus","RPI_sku","text","YES","null","null","null","null","null"
"book_skus","Size","text","YES","null","null","null","null","null"
"book_skus","age_range","text","YES","null","null","null","null","null"
"book_skus","cover_type","text","YES","null","null","null","null","null"
"book_skus","created_at","timestamp with time zone","YES","null","null","null","null","null"
"book_skus","file_cover","text","YES","null","null","null","null","null"
"book_skus","file_guts","text","YES","null","null","null","null","null"
"book_skus","id","bigint","NO","null","null","null","null","null"
"book_skus","name","text","YES","null","null","null","null","null"
"book_skus","page_count_guts","smallint","YES","null","null","null","null","null"
"book_skus","price","numeric","YES","null","null","null","null","null"
"book_skus","print_company","text","YES","null","null","null","null","null"
"book_skus","updated_at","timestamp with time zone","YES","null","null","null","null","null"
"books","cover_pdf_key","text","YES","null","null","null","null","null"
"books","created_at","timestamp with time zone","YES","null","null","null","null","null"
"books","current_version","integer","YES","null","null","null","null","null"
"books","guts_pdf_key","text","YES","null","null","null","null","null"
"books","id","bigint","NO","null","null","null","null","null"
"books","ready_for_print","timestamp with time zone","YES","null","null","null","null","null"
"books","recipient_id","bigint","YES","null","books","recipient_id","recipients","id"
"books","status","character","NO","1","null","null","null","null"
"image_dimensions","aspect_ratio","text","NO","null","null","null","null","null"
"image_dimensions","class_name","text","NO","null","null","null","null","null"
"image_dimensions","created_at","timestamp with time zone","NO","null","null","null","null","null"
"image_dimensions","height","integer","NO","null","null","null","null","null"
"image_dimensions","id","smallint","NO","null","null","null","null","null"
"image_dimensions","updated_at","timestamp with time zone","NO","null","null","null","null","null"
"image_dimensions","width","integer","NO","null","null","null","null","null"
"image_dimensions","x_coordinate","smallint","YES","null","null","null","null","null"
"image_dimensions","y_coordinate","smallint","YES","null","null","null","null","null"
"midjourney_parameters","aspect_ratio","text","NO","null","null","null","null","null"
"midjourney_parameters","chaos","integer","NO","null","null","null","null","null"
"midjourney_parameters","config_name","text","NO","null","null","null","null","null"
"midjourney_parameters","created_at","timestamp with time zone","NO","null","null","null","null","null"
"midjourney_parameters","id","smallint","NO","null","null","null","null","null"
"midjourney_parameters","prompt_template","text","NO","null","null","null","null","null"
"midjourney_parameters","quality","integer","NO","null","null","null","null","null"
"midjourney_parameters","repeat","integer","NO","null","null","null","null","null"
"midjourney_parameters","seed","text","YES","null","null","null","null","null"
"midjourney_parameters","style_raw","boolean","NO","null","null","null","null","null"
"midjourney_parameters","tile","boolean","NO","null","null","null","null","null"
"midjourney_parameters","updated_at","timestamp with time zone","NO","null","null","null","null","null"
"midjourney_parameters","version","text","NO","null","null","null","null","null"
"midjourney_parameters","weird","integer","YES","null","null","null","null","null"
"order_items","book_id","bigint","YES","null","order_items","book_id","books","id"
"order_items","created_at","timestamp with time zone","YES","null","null","null","null","null"
"order_items","id","bigint","NO","null","null","null","null","null"
"order_items","order_id","bigint","YES","null","order_items","order_id","shopify_orders","shopify_orders_sb_id"
"order_items","quantity","integer","NO","null","null","null","null","null"
"pdf_generation","attempt_count","integer","YES","null","null","null","null","null"
"pdf_generation","book_ref","bigint","YES","null","pdf_generation","book_ref","books","id"
"pdf_generation","completed_at","timestamp with time zone","YES","null","null","null","null","null"
"pdf_generation","created_at","timestamp with time zone","YES","null","null","null","null","null"
"pdf_generation","id","bigint","NO","null","null","null","null","null"
"pdf_generation","pdf_key","character varying","YES","255","null","null","null","null"
"pdf_generation","status","character","NO","1","null","null","null","null"
"pdf_generation_attempts","created_at","timestamp with time zone","YES","null","null","null","null","null"
"pdf_generation_attempts","error_message","text","YES","null","null","null","null","null"
"pdf_generation_attempts","id","bigint","NO","null","null","null","null","null"
"pdf_generation_attempts","pdf_generation_ref","bigint","YES","null","pdf_generation_attempts","pdf_generation_ref","pdf_generation","id"
"pdf_generation_attempts","pdfco_job_id","character varying","YES","100","null","null","null","null"
"pdf_generation_attempts","request_data","jsonb","YES","null","null","null","null","null"
"pdf_generation_attempts","response_code","integer","YES","null","null","null","null","null"
"pdf_generation_attempts","response_data","jsonb","YES","null","null","null","null","null"
"portrait_upscale_links","created_at","timestamp with time zone","YES","null","null","null","null","null"
"portrait_upscale_links","portrait_id","bigint","NO","null","portrait_upscale_links","portrait_id","portraits","id"
"portrait_upscale_links","request_id","text","NO","null","null","null","null","null"
"portrait_upscale_logs","created_at","timestamp with time zone","YES","null","null","null","null","null"
"portrait_upscale_logs","id","bigint","NO","null","null","null","null","null"
"portrait_upscale_logs","payload","jsonb","YES","null","null","null","null","null"
"portrait_upscale_logs","request_id","text","NO","null","null","null","null","null"
"portrait_upscale_logs","status","text","NO","null","null","null","null","null"
"portraits","book_id","bigint","YES","null","portraits","book_id","books","id"
"portraits","completed_at","timestamp with time zone","YES","null","null","null","null","null"
"portraits","created_at","timestamp with time zone","YES","null","null","null","null","null"
"portraits","hires_image_key","text","YES","null","null","null","null","null"
"portraits","id","bigint","NO","null","null","null","null","null"
"portraits","image_key","character varying","YES","255","null","null","null","null"
"portraits","proof_feedback","text","YES","null","null","null","null","null"
"portraits","proof_status","character","YES","1","null","null","null","null"
"portraits","resized_hires_image_key","text","YES","null","null","null","null","null"
"portraits","status","character","NO","1","null","null","null","null"
"portraits","style_id","bigint","YES","null","portraits","style_id","artist_styles","id"
"portraits","worker_id","bigint","YES","null","portraits","worker_id","workers","id"
"print_orders","api_response_code","integer","NO","null","null","null","null","null"
"print_orders","api_response_description","text","NO","null","null","null","null","null"
"print_orders","created_at","timestamp with time zone","NO","null","null","null","null","null"
"print_orders","id","bigint","NO","null","null","null","null","null"
"print_orders","rpi_customer_order_id","text","NO","null","null","null","null","null"
"print_orders","shipping_tracking","text","YES","null","null","null","null","null"
"print_orders","shopify_order_id","bigint","YES","null","print_orders","shopify_order_id","shopify_orders","shopify_orders_sb_id"
"print_orders","status","USER-DEFINED","NO","null","null","null","null","null"
"print_orders","updated_at","timestamp with time zone","NO","null","null","null","null","null"
"print_orders","webhook_url","text","YES","null","null","null","null","null"
"recipient_photos","created_at","timestamp with time zone","NO","null","null","null","null","null"
"recipient_photos","id","uuid","NO","null","null","null","null","null"
"recipient_photos","photo_key","text","NO","null","null","null","null","null"
"recipient_photos","recipient_id","bigint","NO","null","recipient_photos","recipient_id","recipients","id"
"recipient_photos","updated_at","timestamp with time zone","NO","null","null","null","null","null"
"recipients","age","integer","YES","null","null","null","null","null"
"recipients","created_at","timestamp with time zone","YES","null","null","null","null","null"
"recipients","gender","USER-DEFINED","YES","null","null","null","null","null"
"recipients","id","bigint","NO","null","null","null","null","null"
"recipients","message","text","YES","null","null","null","null","null"
"recipients","metadata","jsonb","YES","null","null","null","null","null"
"recipients","name","text","NO","null","null","null","null","null"
"recipients","photo_key","character varying","YES","255","null","null","null","null"
"recipients","shopify_photo_url","character varying","YES","255","null","null","null","null"
"recipients","status","character","NO","1","null","null","null","null"
"rpi_webhooks","created_at","timestamp with time zone","NO","null","null","null","null","null"
"rpi_webhooks","id","bigint","NO","null","null","null","null","null"
"rpi_webhooks","message","text","YES","null","null","null","null","null"
"rpi_webhooks","payload","jsonb","NO","null","null","null","null","null"
"rpi_webhooks","rpi_order_id","character varying","NO","100","null","null","null","null"
"rpi_webhooks","signature","text","YES","null","null","null","null","null"
"rpi_webhooks","source","text","NO","null","null","null","null","null"
"rpi_webhooks","timestamp","timestamp with time zone","NO","null","null","null","null","null"
"shipping_addresses","address_line1","character varying","NO","100","null","null","null","null"
"shipping_addresses","address_line2","character varying","YES","100","null","null","null","null"
"shipping_addresses","city","character varying","NO","100","null","null","null","null"
"shipping_addresses","country_code","character","NO","2","null","null","null","null"
"shipping_addresses","created_at","timestamp with time zone","YES","null","null","null","null","null"
"shipping_addresses","id","bigint","NO","null","null","null","null","null"
"shipping_addresses","name","character varying","NO","100","null","null","null","null"
"shipping_addresses","order_sb_id","bigint","YES","null","shipping_addresses","order_sb_id","shopify_orders","shopify_orders_sb_id"
"shipping_addresses","postal_code","character varying","NO","20","null","null","null","null"
"shipping_addresses","state","character varying","NO","100","null","null","null","null"
"shipping_addresses","verified","boolean","YES","null","null","null","null","null"
"shopify_orders","created_at","timestamp with time zone","YES","null","null","null","null","null"
"shopify_orders","customer_email","character varying","YES","255","null","null","null","null"
"shopify_orders","metadata","jsonb","YES","null","null","null","null","null"
"shopify_orders","shopify_order_id","character varying","NO","32","null","null","null","null"
"shopify_orders","shopify_order_number","character varying","NO","32","null","null","null","null"
"shopify_orders","shopify_orders_sb_id","bigint","NO","null","null","null","null","null"
"shopify_orders","status","character","NO","1","null","null","null","null"
"workers","active","boolean","YES","null","null","null","null","null"
"workers","clerk_id","text","YES","null","null","null","null","null"
"workers","created_at","timestamp with time zone","YES","null","null","null","null","null"
"workers","email","character varying","NO","255","null","null","null","null"
"workers","id","bigint","NO","null","null","null","null","null"
"workers","last_active","timestamp with time zone","YES","null","null","null","null","null"
"workers","name","character varying","NO","100","null","null","null","null"
"workers","password","text","YES","null","null","null","null","null"
